	46_x1_CHR	46_x1_POS	46_x2_CHR	46_x2_POS	47_x1_CHR	47_x1_POS	47_x2_CHR	47_x2_POS	95_x1_CHR	95_x1_POS	95_x2_CHR	95_x2_POS
16714	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	24	0.49	#N/A	#N/A
75642	28	0.54	#N/A	#N/A	28	0.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
91145	#N/A	#N/A	#N/A	#N/A	28	0.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
123892	#N/A	#N/A	#N/A	#N/A	28	0.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2373	#N/A	#N/A	#N/A	#N/A	28	0.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
41945	#N/A	#N/A	#N/A	#N/A	28	0.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
124238	#N/A	#N/A	#N/A	#N/A	14	0.55	#N/A	#N/A	14	2.86	#N/A	#N/A
70224	8	10.31	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	10	0.61	8	14.25
65921	10	2.82	#N/A	#N/A	10	0.61	8	17.02	#N/A	#N/A	#N/A	#N/A
68316	10	0.61	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
73119	#N/A	#N/A	#N/A	#N/A	3	274.76	#N/A	#N/A	12	0.61	12	211.99
17657	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	28	0.71	#N/A	#N/A
115137	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22	9.02	22	0.73
254055	34	50.75	22	0.73	#N/A	#N/A	#N/A	#N/A	32	35.83	#N/A	#N/A
4889	25	2.19	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	25	0.73	#N/A	#N/A
95740	26	7.21	26	7.67	26	7.82	26	0.74	26	9.33	#N/A	#N/A
93030	#N/A	#N/A	#N/A	#N/A	13	0.75	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
3770	#N/A	#N/A	#N/A	#N/A	31	65.99	#N/A	#N/A	31	0.84	#N/A	#N/A
2387	2	14.81	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	0.89	#N/A	#N/A
40047	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	10	0.91	#N/A	#N/A
81005	8	8.35	10	1.22	8	7.12	10	1.46	10	0.91	8	10.06
8063	3	44.89	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	0.91	#N/A	#N/A
28273	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	7	0.92	#N/A	#N/A
28465	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	14	0.97	#N/A	#N/A
26751	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	11	53.4	14	0.97
161940	#N/A	#N/A	#N/A	#N/A	25	0.97	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
66571	#N/A	#N/A	25	0.97	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
22910	#N/A	#N/A	#N/A	#N/A	13	20.8	#N/A	#N/A	13	1	#N/A	#N/A
81448	#N/A	#N/A	#N/A	#N/A	4	1.09	6	21.79	#N/A	#N/A	#N/A	#N/A
86695	1	164.9	1	1.22	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
7478	#N/A	#N/A	#N/A	#N/A	10	1.22	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
261872	10	1.22	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
41279	10	1.22	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
76900	8	10.31	#N/A	#N/A	10	1.22	#N/A	#N/A	8	10.55	10	4.58
70277	#N/A	#N/A	#N/A	#N/A	32	1.22	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
100735	#N/A	#N/A	#N/A	#N/A	21	1.23	#N/A	#N/A	21	5.44	#N/A	#N/A
136045	#N/A	#N/A	#N/A	#N/A	10	1.46	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
73362	#N/A	#N/A	#N/A	#N/A	10	1.46	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
159549	#N/A	#N/A	#N/A	#N/A	10	1.46	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
31044	8	9.58	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	10	1.46	#N/A	#N/A
93447	#N/A	#N/A	#N/A	#N/A	8	17.02	10	1.46	#N/A	#N/A	#N/A	#N/A
99238	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	14	1.5	14	2.41
84885	11	4.5	#N/A	#N/A	11	1.53	#N/A	#N/A	11	1.78	#N/A	#N/A
26136	11	4.5	#N/A	#N/A	11	1.53	#N/A	#N/A	8	85.36	#N/A	#N/A
262527	#N/A	#N/A	#N/A	#N/A	10	56.89	11	1.53	11	9.24	#N/A	#N/A
36165	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	21	1.53	#N/A	#N/A
120939	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	1.6	#N/A	#N/A
40106	2	15.72	#N/A	#N/A	2	23.13	#N/A	#N/A	2	1.6	#N/A	#N/A
121545	#N/A	#N/A	#N/A	#N/A	2	23.13	#N/A	#N/A	2	1.6	#N/A	#N/A
103054	2	15.57	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	1.6	#N/A	#N/A
125049	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	1.6	#N/A	#N/A
58037	2	133.79	#N/A	#N/A	2	2.49	#N/A	#N/A	2	145.95	2	1.6
122458	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	1.6
80743	2	15.42	2	141.31	2	2.49	2	23.13	2	1.6	#N/A	#N/A
73412	7	1.69	#N/A	#N/A	20	15.91	7	8.61	7	9.51	20	20.85
68202	#N/A	#N/A	#N/A	#N/A	10	1.71	8	9.58	8	9.33	10	1.71
113608	8	8.6	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	10	1.71	#N/A	#N/A
90644	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	10	1.71	#N/A	#N/A
85100	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	10	1.71	#N/A	#N/A
62274	10	3.89	8	8.6	8	8.6	10	1.71	10	3.89	8	10.55
122387	10	2.82	8	10.31	10	1.71	#N/A	#N/A	8	17.62	#N/A	#N/A
44648	#N/A	#N/A	#N/A	#N/A	10	1.71	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
86171	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18	1.85	#N/A	#N/A
127084	2	1.96	#N/A	#N/A	2	23.13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
77540	2	1.96	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	187.59	#N/A	#N/A
104428	8	8.6	#N/A	#N/A	10	1.96	#N/A	#N/A	8	17.02	#N/A	#N/A
77491	#N/A	#N/A	#N/A	#N/A	10	1.96	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
16205	32	1.96	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	32	5.34	#N/A	#N/A
56626	#N/A	#N/A	#N/A	#N/A	15	1.98	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
108243	#N/A	#N/A	#N/A	#N/A	8	83.38	11	2.03	8	86.92	#N/A	#N/A
132190	#N/A	#N/A	#N/A	#N/A	6	2.12	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
121507	15	2.16	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2156	#N/A	#N/A	#N/A	#N/A	18	13.09	#N/A	#N/A	18	2.16	#N/A	#N/A
10723	2	136.82	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	2.31	2	150.69
3062	4	7.29	#N/A	#N/A	4	2.4	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
66874	3	2.47	3	55.14	3	144.97	#N/A	#N/A	12	37.24	#N/A	#N/A
117097	3	2.47	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
250367	3	2.47	#N/A	#N/A	3	8.59	3	282.27	#N/A	#N/A	#N/A	#N/A
9749	3	45.2	3	2.47	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
32178	3	2.47	3	36.04	3	345.45	3	353.4	#N/A	#N/A	#N/A	#N/A
82824	#N/A	#N/A	#N/A	#N/A	3	2.47	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
28178	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
82755	#N/A	#N/A	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
90899	#N/A	#N/A	#N/A	#N/A	2	2.49	2	2.49	#N/A	#N/A	#N/A	#N/A
29202	#N/A	#N/A	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
132793	#N/A	#N/A	#N/A	#N/A	2	23.13	2	2.49	2	15.72	#N/A	#N/A
287	#N/A	#N/A	#N/A	#N/A	2	2.49	2	23.13	#N/A	#N/A	#N/A	#N/A
104809	2	136.82	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
81314	2	15.42	#N/A	#N/A	2	23.13	2	2.49	2	140.24	2	14.96
37673	#N/A	#N/A	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
71850	#N/A	#N/A	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
34232	#N/A	#N/A	#N/A	#N/A	2	23.13	2	2.49	2	14.81	#N/A	#N/A
35143	2	3.01	2	14.81	2	2.49	#N/A	#N/A	2	151.6	#N/A	#N/A
104606	#N/A	#N/A	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
88903	2	2.66	#N/A	#N/A	2	2.49	#N/A	#N/A	2	36.32	#N/A	#N/A
33367	#N/A	#N/A	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
25160	#N/A	#N/A	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
29730	#N/A	#N/A	#N/A	#N/A	2	2.49	2	28.24	#N/A	#N/A	#N/A	#N/A
102545	#N/A	#N/A	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
114290	16	48.48	#N/A	#N/A	2	2.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
100156	#N/A	#N/A	#N/A	#N/A	2	2.49	16	18.86	#N/A	#N/A	#N/A	#N/A
22838	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	14	2.56	14	2.56
60409	30	2.56	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
100559	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	10	2.61	#N/A	#N/A
68282	8	8.6	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	10	2.61	#N/A	#N/A
82166	10	2.82	8	8.35	#N/A	#N/A	#N/A	#N/A	10	2.61	#N/A	#N/A
92111	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	13	2.63	#N/A	#N/A
67190	13	2.63	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
125578	2	3.01	#N/A	#N/A	2	2.66	#N/A	#N/A	2	145.64	#N/A	#N/A
15227	22	2.66	#N/A	#N/A	22	10.83	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
120259	2	15.57	22	2.66	22	10.83	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
127273	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22	2.66	#N/A	#N/A
82675	#N/A	#N/A	#N/A	#N/A	32	2.69	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
126417	33	45.62	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	32	2.69	#N/A	#N/A
150554	#N/A	#N/A	#N/A	#N/A	21	3.06	#N/A	#N/A	21	2.76	#N/A	#N/A
99074	10	2.82	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
124752	10	2.82	8	10.31	8	7.12	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
126304	10	2.82	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	10	4.93	#N/A	#N/A
106352	10	2.82	#N/A	#N/A	8	10.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
239708	8	8.6	10	2.82	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
37181	10	2.82	8	7.12	#N/A	#N/A	#N/A	#N/A	10	4.06	#N/A	#N/A
105084	10	2.82	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
46070	#N/A	#N/A	#N/A	#N/A	25	2.83	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
34524	2	2.84	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	135.76	#N/A	#N/A
28424	#N/A	#N/A	#N/A	#N/A	2	2.84	#N/A	#N/A	2	175.68	#N/A	#N/A
25355	#N/A	#N/A	#N/A	#N/A	19	29.67	#N/A	#N/A	26	2.89	19	30.58
54578	2	3.01	#N/A	#N/A	25	57.81	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
221819	2	3.01	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
96491	2	14.81	2	3.01	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
66569	2	3.01	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	150.69	#N/A	#N/A
9230	2	3.01	#N/A	#N/A	2	3.37	#N/A	#N/A	2	136.52	#N/A	#N/A
66780	2	3.01	2	3.19	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
83351	2	3.01	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	136.82	#N/A	#N/A
26953	#N/A	#N/A	#N/A	#N/A	21	3.06	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44036	#N/A	#N/A	#N/A	#N/A	7	3.17	#N/A	#N/A	7	76.96	#N/A	#N/A
150525	32	6.36	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	32	3.18	#N/A	#N/A
42557	#N/A	#N/A	#N/A	#N/A	2	3.19	#N/A	#N/A	2	135	#N/A	#N/A
50177	#N/A	#N/A	#N/A	#N/A	3	226.72	#N/A	#N/A	15	3.22	#N/A	#N/A
30253	2	3.54	#N/A	#N/A	2	3.37	#N/A	#N/A	2	135.15	#N/A	#N/A
33067	2	3.37	#N/A	#N/A	2	3.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
27023	2	135	#N/A	#N/A	2	3.37	#N/A	#N/A	2	135.15	#N/A	#N/A
101658	#N/A	#N/A	#N/A	#N/A	2	3.37	#N/A	#N/A	2	135	#N/A	#N/A
35311	#N/A	#N/A	#N/A	#N/A	2	3.37	#N/A	#N/A	2	135	#N/A	#N/A
71668	#N/A	#N/A	#N/A	#N/A	2	3.37	#N/A	#N/A	2	135	#N/A	#N/A
3178	#N/A	#N/A	#N/A	#N/A	2	3.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
73687	2	3.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	173.25	2	135
93292	#N/A	#N/A	#N/A	#N/A	2	3.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
87364	2	3.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
50231	2	3.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
215914	2	3.37	2	3.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
75891	2	3.37	#N/A	#N/A	2	3.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
86533	2	3.37	#N/A	#N/A	2	3.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
53802	2	3.37	#N/A	#N/A	2	4.25	#N/A	#N/A	2	133.49	#N/A	#N/A
29456	3	44.59	3	3.39	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
29641	3	56.66	3	246.67	3	3.39	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
57210	25	3.42	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
21831	2	3.54	#N/A	#N/A	2	4.25	#N/A	#N/A	2	130.76	#N/A	#N/A
63226	2	3.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
69901	2	3.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
7485	25	3.62	#N/A	#N/A	25	3.62	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
116980	3	21.37	3	3.69	#N/A	#N/A	#N/A	#N/A	12	209.84	#N/A	#N/A
60888	#N/A	#N/A	#N/A	#N/A	3	3.69	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
1370	5	3.74	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
225387	#N/A	#N/A	#N/A	#N/A	10	3.89	#N/A	#N/A	8	14.25	10	4.93
32360	10	5.45	#N/A	#N/A	10	3.89	8	10.8	#N/A	#N/A	#N/A	#N/A
89487	#N/A	#N/A	#N/A	#N/A	28	54.1	#N/A	#N/A	20	3.91	#N/A	#N/A
53590	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	24	3.98	#N/A	#N/A
75055	#N/A	#N/A	#N/A	#N/A	2	4.07	#N/A	#N/A	2	172.65	#N/A	#N/A
61652	2	4.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	133.64	#N/A	#N/A
124853	#N/A	#N/A	#N/A	#N/A	2	4.07	#N/A	#N/A	2	28.09	#N/A	#N/A
23935	#N/A	#N/A	#N/A	#N/A	2	4.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
119736	2	15.72	2	4.07	#N/A	#N/A	#N/A	#N/A	2	130.31	#N/A	#N/A
53740	#N/A	#N/A	#N/A	#N/A	2	4.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
99913	2	4.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5925	#N/A	#N/A	#N/A	#N/A	7	4.14	#N/A	#N/A	18	7.05	#N/A	#N/A
39725	#N/A	#N/A	#N/A	#N/A	7	4.14	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
85266	#N/A	#N/A	#N/A	#N/A	7	4.14	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
112817	7	57.17	#N/A	#N/A	18	4.22	#N/A	#N/A	18	70.57	#N/A	#N/A
125079	#N/A	#N/A	#N/A	#N/A	2	4.25	2	28.24	#N/A	#N/A	#N/A	#N/A
1503	2	15.72	2	4.25	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
24168	#N/A	#N/A	#N/A	#N/A	30	7.9	#N/A	#N/A	30	4.26	#N/A	#N/A
96642	32	4.32	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
40912	10	5.45	8	10.31	8	9.58	10	4.41	#N/A	#N/A	#N/A	#N/A
64732	29	23.74	#N/A	#N/A	32	4.49	29	23.74	#N/A	#N/A	#N/A	#N/A
123596	#N/A	#N/A	#N/A	#N/A	32	4.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
56475	14	4.52	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
188648	14	4.52	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
222250	31	59.87	#N/A	#N/A	30	4.57	#N/A	#N/A	30	6.99	31	60.17
93964	10	5.79	#N/A	#N/A	10	4.58	#N/A	#N/A	8	17.02	#N/A	#N/A
26559	#N/A	#N/A	#N/A	#N/A	8	8.35	10	4.58	#N/A	#N/A	#N/A	#N/A
22502	10	5.97	8	10.31	10	4.58	#N/A	#N/A	8	14.25	#N/A	#N/A
118985	#N/A	#N/A	#N/A	#N/A	7	4.59	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
46768	#N/A	#N/A	#N/A	#N/A	21	4.59	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
112443	#N/A	#N/A	#N/A	#N/A	20	4.62	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
1157	28	4.65	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
86729	32	4.66	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	32	5.85	#N/A	#N/A
38891	32	4.66	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
91796	32	4.66	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	32	8.93	#N/A	#N/A
124258	32	4.66	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
87621	29	23.06	32	4.66	32	7.87	29	23.74	#N/A	#N/A	#N/A	#N/A
12079	9	4.74	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
4415	#N/A	#N/A	#N/A	#N/A	8	10.8	10	4.75	#N/A	#N/A	#N/A	#N/A
249388	#N/A	#N/A	#N/A	#N/A	10	4.75	8	17.02	#N/A	#N/A	#N/A	#N/A
139769	8	10.31	10	5.79	10	4.75	8	10.8	10	9.99	8	17.32
161701	#N/A	#N/A	#N/A	#N/A	10	4.75	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
32523	#N/A	#N/A	#N/A	#N/A	10	4.75	8	8.84	#N/A	#N/A	#N/A	#N/A
39228	8	8.6	#N/A	#N/A	10	4.75	#N/A	#N/A	8	17.17	#N/A	#N/A
120344	2	4.78	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	130.46	#N/A	#N/A
25067	2	15.42	2	4.78	2	14.46	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
71633	2	4.78	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
